Bus_name,Bus_type,Start_time,End_time,Total_duration,Prices,Seats_Available,Ratings,Route_name,Route_link
KSRTC (Kerala) - 53,SWIFT-GARUDA A/C SEATER BUS,08:29,16:20,07h 51m,INR 627,8 Seats available,"3.9
74",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 579,Super Express Non AC Seater Air Bus (2+2),10:00,18:30,08h 30m,INR 469,6 Seats available,"3.8
35",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,12:02,19:55,07h 53m,INR 627,3 Seats available,"3.6
58",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:32,22:32,09h 00m,INR 432,29 Seats available,"4.3
49",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,04:00,10h 00m,INR 513,9 Seats available,"3.9
27",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 750,16 Seats available,"4.4
561",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,20:45,08h 30m,INR 799,29 Seats available,"4.4
219",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
NS Transports,VE A/C Sleeper (2+1),21:16,06:30,09h 14m,INR 999,23 Seats available,"4.4
124",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
AdSam Tourist,NON AC Seater / Sleeper 2+1,21:00,06:30,09h 30m,INR 599,19 Seats available,"3.4
69",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 899,19 Seats available,"4.2
303",Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 2882,Super Fast Non AC Seater (2+3),09:54,15:15,05h 21m,INR 220,42 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 2381,Low Floor AC Seater 2+2,10:02,15:08,05h 06m,INR 383,3 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 1888,Low Floor AC Seater 2+2,13:09,18:45,05h 36m,INR 383,3 Seats available,"3.5
18",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 780,Super Fast Non AC Seater (2+3),13:20,19:10,05h 50m,INR 269,43 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 277,Super Fast Non AC Seater (2+3),13:25,18:55,05h 30m,INR 269,46 Seats available,"3.8
6",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 722,Super Fast Non AC Seater (2+3),13:34,19:25,05h 51m,INR 269,40 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 2385,Low Floor AC Seater 2+2,14:59,20:45,05h 46m,INR 383,6 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 1997,Swift Deluxe Non AC Air Bus (2+2),15:25,19:50,04h 25m,INR 278,16 Seats available,"3.5
28",Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 2711,Super Fast Non AC Seater (2+3),16:00,21:30,05h 30m,INR 269,50 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),16:30,22:20,05h 50m,INR 269,50 Seats available,2.8,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
